#119462, Ocean Green G28
#384558, Slate BV29
#524358, Aubergine V99
#636466, Neutral Gray N8
#637079, Cool Gray No. 7 C7
#777674, Toner Gray T7
#777873, Warm Gray No. 7 W7
#884636, Burnt Umber E29
#949590, Toner Gray T6
#949599, Neutral Gray N6
#997663, Milk Chocolate E27
#FFFFFF, Colorless Blender 0
#312B2B, Black 100
#030708, Special Black 110
#F0F9FE, Pale Celestine B0000
#E6F4F5, Pale Porcelain Blue B000
#DDF0F4, Frost Blue B00
#D6EEF2, Mint Blue B01
#B3E3F1, Robin's Egg Blue B02
#73CFE6, Tahitian Blue B04
#40C5E6, Process Blue B05
#00B3E6, Peacok Blue B06
#C8E6F0, Ice Blue B12
#71CFEB, Light Blue B14
#00BCEA, Cyanine Blue B16
#1D8ACB, Lapis Lazuli B18
#DBEDF9, Baby Blue B21
#92C2E8, Phthalo Blue B23
#8ACEF3, Sky B24
#65B3E3, Cobalt Blue B26
#196DB6, Royal Blue B28
#0177C1, Ultramarine B29
#E2EFF7, Pale Blue B32
#82C3ED, Manganese Blue B34
#156FA4, Antwerp Blue B37
#2B64A9, Prussian Blue B39
#E2F0FB, Powder Blue B41
#75C0EA, Smoky Blue B45
#ADCDDC, Soft Greenish Blue B52
#DAE1F3, Pale Blue Gray B60
#A7BBE0, Light Hydrangea B63
#6888C5, Clematis B66
#2165AE, Stratospheric Blue B69
#3B479D, Iris B79
#D5E2EB, Pale Grayish Blue B91
#95C1DA, Light Crockery Blue B93
#74A7C6, Light Grayish Cobalt B95
#457A9A, Night Blue B97
#0F547E, Agate B99
#EFF8F3, Snow Green BG0000
#E5F4ED, Pale Aqua BG000
#C7E6FA, Aqua Blue BG01
#C6E8EA, New Blue BG02
#83D2E1, Holiday Blue BG05
#1DB8CE, Petroleum Blue BG07
#01B1C9, Blue Green BG09
#DCF0EF, Cool Shadow BG10
#CEEBF1, Moon White BG11
#C4E7E9, Mint Green BG13
#A0D9D2, Aqua BG15
#37C0B0, Teal Blue BG18
#BDE5DD, Coral Sea BG23
#BCE2D7, Aqua Mint BG32
#A3DAD7, Horizon Green BG34
#AFDFDF, Nile Blue BG45
#00B6B9, Duck Blue BG49
#ACCFD1, Ice Mint BG53
#64BEBE, Sketch Jasper BG57
#DAECEE, Ocean Mist BG70
#74B8BB, Ice Ocean BG72
#59918E, Abyss Green BG75
#49706B, Bronze BG78
#E8EDE7, Sketch Gray Sky BG90
#BAC1B9, Green Gray BG93
#81A291, Bush BG96
#6E9B87, Flagstone Blue BG99
#EAE7F2, Pale Lavender BV31
#E0DCED, Mauve Shadow BV00
#C4C9E6, Viola BV01
#AAB8DB, Prune BV02
#7C97CE, Blue Berry BV04
#9D7EB9, Blue Violet BV08
#D4D2E8, Soft Violet BV11
#8491C8, Hydrangea Blue BV13
